Question,Answer A,Answer B,Answer C,Answer D,Answer E,Answer F,Answer G,Answer H,Correct Answer(s)
"A user is attempting to navigate to a website from inside the company network using a desktop. When the user types in the URL, https://www.site.com, the user is presented with a certificate mismatch warning from the browser. The user does not receive a warning when visiting http://www.anothersite.com. Which of the following describes this attack?",On-path,Domain hijacking,DNS poisoning,Evil twin,,,,,C
Which of the following tools is effective in preventing a user from accessing unauthorized removable media?,USB data blocker,Faraday cage,Proximity reader,Cable lock,,,,,A
"A Chief Security Officer is looking for a solution that can provide increased scalability and flexibility for back-end infrastructure, allowing it to be updated and modified without disruption to services. The security architect would like the solution selected to reduce the back-end server resources and has highlighted that session persistence is not important for the applications running on the back-end servers. Which of the following would BEST meet the requirements?",Reverse proxy,Automated patch management,Snapshots,NIC teaming,,,,,A
Which of the following describes a social engineering technique that seeks to exploit a person's sense of urgency?,A phishing email stating a cash settlement has been awarded but will expire soon,A smishing message stating a package is scheduled for pickup,A vishing call that requests a donation be made to a local charity,A SPIM notification claiming to be undercover law enforcement investigating a cybercrime,,,,,C
"A security analyst is reviewing application logs to determine the source of a breach and locates the following log: 
https://www.comptia.com/login.php?id='%20or%20'1'1='1
Which of the following has been observed?",DLL Injection,API attack,SQLi,XSS,,,,,C
"An audit identified PII being utilized in the development environment of a critical application. The Chief Privacy Officer (CPO) is adamant that this data must be removed; however, the developers are concerned that without real data they cannot perform functionality tests and search for specific data. Which of the following should a security professional implement to BEST satisfy both the CPO's and the development team's requirements?",Data anonymization,Data encryption,Data masking,Data tokenization,,,,,A
"A company is implementing a DLP solution on the file server. The file server has PII, financial information, and health information stored on it. Depending on what type of data that is hosted on the file server, the company wants different DLP rules assigned to the data. Which of the following should the company do to help accomplish this goal?",Classify the data.,Mask the data.,Assign the application owner.,Perform a risk analysis,,,,,A
zer,SQL injection,Broken authentication,XSS,XSRF,,,,,D
A report delivered to the Chief Information Security Officer (CISO) shows that some user credentials could be exfiltrated. The report also indicates that users tend to choose the same credentials on different systems and applications. Which of the following policies should the CISO use to prevent someone from using the exfiltrated credentials?,MFA,Lockout,Time-based logins,Password history,,,,,A
"A company wants to simplify the certificate management process. The company has a single domain with several dozen subdomains, all of which are publicly accessible on the internet. Which of the following BEST describes the type of certificate the company should implement?",Subject alternative name,Wildcard,Self-signed,Domain validation,,,,,B
Which of the following is an effective tool to stop or prevent the exfiltration of data from a network?,DLP,NIDS,TPM,FDE,,,,,A
"Several attempts have been made to pick the door lock of a secure facility. As a result, the security engineer has been assigned to implement a stronger preventative access control. Which of the following would BEST complete the engineer's assignment?",Replacing the traditional key with an RFID key,Installing and monitoring a camera facing the door,Setting motion-sensing lights to illuminate the door on activity,Surrounding the property with fencing and gates,,,,,A
Which of the following can be used by a monitoring tool to compare values and detect password leaks without providing the actual credentials?,Hashing,Tokenization,Masking,Encryption,,,,,A
A security engineer is building a file transfer solution to send files to a business partner. The users would like to drop off the files in a specific directory and have the server send the file to the business partner. The connection to the business partner is over the internet and needs to be secure. Which of the following can be used?,S/MIME,LDAPS,SSH,SRTP,,,,,D
